!def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
def(MAIN),
def(WIN32),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(_WIN32),
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(PROTO),
def(FEAT_SUN_WORKSHOP),
def(__BORLANDC__),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(DEBUG),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(PROTO),
True,
def(FEAT_TERMRESPONSE),
