!def(FEAT_MBYTE),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
def(RISCOS),
!def(INET_SOCKETS),
!def(NO_CONSOLE),
def(DEBUG),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
!def(PROTO),
def(FEAT_GUI_W32),
!def(FEAT_BEVAL),
def(WSDEBUG),
def(WSDEBUG_TRACE),
!def(FEAT_EMACS_TAGS),
def(WSDEBUG_SENSE),
True,
def(LESSTIF_VERSION),
def(FEAT_RIGHTLEFT),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(FEAT_BEVAL),
def(FEAT_FKMAP),
def(FEAT_TOOLBAR),
def(FEAT_EMACS_TAGS),
def(__BORLANDC__),
def(JUMPLIST_ROTATE),
!def(RISCOS),
!def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(MCH_WRITE_DUMP),
