!def(NO_CONSOLE),
def(FEAT_FKMAP),
!def(RISCOS),
def(WSDEBUG),
def(PROTO),
!def(PROTO),
def(FEAT_GUI),
def(FEAT_TOOLBAR),
!def(FEAT_EMACS_TAGS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(RISCOS),
def(FEAT_GUI_W32),
def(FEAT_RIGHTLEFT),
def(FEAT_TERMRESPONSE),
def(DEBUG),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
def(FEAT_GUI_GTK),
True,
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
def(FEAT_EMACS_TAGS),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
def(FEAT_BEVAL),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
!def(FEAT_MBYTE),
