!def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(WSDEBUG),
def(DEBUG),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
!def(PROTO),
def(INET_SOCKETS),
def(FEAT_GUI),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(__BORLANDC__),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(WSDEBUG_SENSE),
True,
