!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
def(FEAT_RIGHTLEFT),
def(__BORLANDC__),
def(FEAT_MBYTE),
!def(FEAT_RIGHTLEFT),
def(INET_SOCKETS),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG),
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(FEAT_CLIPBOARD),
!def(FEAT_GUI_GTK),
def(PROTO),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
!def(FEAT_MBYTE),
def(DEBUG),
True,
def(WSDEBUG_SENSE),
