def(FEAT_EMACS_TAGS),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(__BORLANDC__),
!def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(MCH_WRITE_DUMP),
def(WSDEBUG_SENSE),
def(WSDEBUG),
!def(FEAT_EMACS_TAGS),
def(JUMPLIST_ROTATE),
def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(PROTO),
!def(INET_SOCKETS),
True,
!def(NO_CONSOLE),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
