!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
!def(NO_CONSOLE),
True,
def(DEBUG),
def(__BORLANDC__),
def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(WSDEBUG),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_GTK),
def(MCH_WRITE_DUMP),
def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
