!def(NO_CONSOLE),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(__BORLANDC__),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
!def(PROTO),
True,
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
!def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(PROTO),
def(WSDEBUG_TRACE),
def(DEBUG),
