!def(NO_CONSOLE),
!def(FEAT_EMACS_TAGS),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
def(WSDEBUG),
def(FEAT_EMACS_TAGS),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
!def(PROTO),
!def(FEAT_BEVAL),
def(DEBUG),
def(FEAT_GUI_W32),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_RIGHTLEFT),
True,
def(WSDEBUG_SENSE),
def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(__BORLANDC__),
def(FEAT_FKMAP),
def(NBDEBUG),
