(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
def(FEAT_TOOLBAR),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
def(FEAT_GUI_W32),
!def(RISCOS),
!def(FEAT_MBYTE),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(DEBUG),
def(LESSTIF_VERSION),
!def(FEAT_BEVAL),
def(FEAT_FKMAP),
def(FEAT_RIGHTLEFT),
def(NBDEBUG),
def(FEAT_MBYTE),
True,
!def(NO_CONSOLE),
def(EBCDIC),
(def(NBDEBUG)&def(FEAT_GUI_W32)),
def(JUMPLIST_ROTATE),
!def(EBCDIC),
(!def(FEAT_BEVAL)&def(FEAT_NETBEANS_INTG)),
