def(RISCOS),
!def(PROTO),
def(FEAT_TERMRESPONSE),
def(FEAT_RIGHTLEFT),
def(FEAT_CLIPBOARD),
def(FEAT_GUI_W32),
def(PROTO),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
!def(FEAT_BEVAL),
def(FEAT_FKMAP),
True,
!def(FEAT_RIGHTLEFT),
def(FEAT_TOOLBAR),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
def(DEBUG),
!def(RISCOS),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(__BORLANDC__),
!def(FEAT_GUI_GTK),
!def(FEAT_MBYTE),
