def(FEAT_CLIPBOARD),
!def(PROTO),
def(PROTO),
def(LESSTIF_VERSION),
def(FEAT_GUI),
def(NBDEBUG),
!def(FEAT_BEVAL),
def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(EBCDIC),
!def(RISCOS),
def(WSDEBUG),
def(MCH_WRITE_DUMP),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
!def(EBCDIC),
def(WSDEBUG_TRACE),
!def(FEAT_MBYTE),
def(RISCOS),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(__BORLANDC__),
def(FEAT_TOOLBAR),
def(FEAT_FKMAP),
!def(NO_CONSOLE),
def(DEBUG),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
