!def(FEAT_RIGHTLEFT),
def(NBDEBUG),
def(WSDEBUG_TRACE),
!def(PROTO),
def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(FEAT_TERMRESPONSE),
!def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(JUMPLIST_ROTATE),
def(FEAT_TOOLBAR),
def(FEAT_MBYTE),
!def(NO_CONSOLE),
!def(FEAT_MBYTE),
True,
def(DEBUG),
!def(FEAT_GUI_W32),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
def(FEAT_BEVAL),
def(INET_SOCKETS),
def(PROTO),
def(__BORLANDC__),
