(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
def(MAIN),
def(FEAT_JOB_CHANNEL),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI),
def(FEAT_MBYTE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(DEBUG),
def(WSDEBUG),
def(__MINT__),
!def(FEAT_GUI_GTK),
def(WSDEBUG_TRACE),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(WIN32),
def(FEAT_TOOLBAR),
True,
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(_WIN32),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
