!def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
def(FEAT_JOB_CHANNEL),
def(DEBUG),
def(FEAT_TOOLBAR),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(JUMPLIST_ROTATE),
def(WIN32),
def(__MINT__),
def(_WIN32),
!def(INET_SOCKETS),
True,
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_SUN_WORKSHOP),
def(MAIN),
def(WSDEBUG),
