!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(DEBUG),
def(NBDEBUG),
def(__BORLANDC__),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(FEAT_GUI_GTK),
!def(PROTO),
def(FEAT_FKMAP),
def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
def(PROTO),
!def(NO_CONSOLE),
def(FEAT_RIGHTLEFT),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_BEVAL),
def(FEAT_MBYTE),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(FEAT_CLIPBOARD),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
True,
def(WSDEBUG_TRACE),
def(FEAT_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
