def(FEAT_EMACS_TAGS),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(FEAT_RIGHTLEFT),
def(LESSTIF_VERSION),
def(__BORLANDC__),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_GTK),
def(PROTO),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
!def(FEAT_EMACS_TAGS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
def(WSDEBUG),
def(FEAT_FKMAP),
!def(FEAT_GUI_W32),
True,
def(WSDEBUG_TRACE),
!def(NO_CONSOLE),
def(FEAT_MBYTE),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
!def(PROTO),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
!def(FEAT_BEVAL),
