!def(FEAT_GUI_W32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WIN32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG),
!def(FEAT_PROFILE),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(FEAT_TERMRESPONSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
!def(INET_SOCKETS),
def(FEAT_PROFILE),
def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(FEAT_TOOLBAR),
def(FEAT_GUI_W32),
def(FEAT_BEVAL_GUI),
def(_WIN32),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(MAIN),
def(__MINT__),
def(PROTO),
def(LESSTIF_VERSION),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
True,
def(WSDEBUG_SENSE),
