!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
def(FEAT_CLIPBOARD),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
!def(INET_SOCKETS),
True,
!def(PROTO),
def(LESSTIF_VERSION),
def(FEAT_GUI_GTK),
def(FEAT_GUI),
!def(NO_CONSOLE),
def(WSDEBUG),
def(PROTO),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
def(NBDEBUG),
def(FEAT_GUI_W32),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(MCH_WRITE_DUMP),
def(__BORLANDC__),
