!def(NO_CONSOLE),
def(MAIN),
def(LESSTIF_VERSION),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_W32),
!def(PROTO),
def(FEAT_TERMRESPONSE),
!def(INET_SOCKETS),
def(_WIN32),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
True,
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(WSDEBUG),
def(DEBUG),
def(WSDEBUG_SENSE),
def(WIN32),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(JUMPLIST_ROTATE),
def(__BORLANDC__),
def(FEAT_GUI_GTK),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
