!def(INET_SOCKETS),
def(FEAT_BEVAL_GUI),
def(PROTO),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(__MINT__),
def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(JUMPLIST_ROTATE),
def(_WIN32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_PROFILE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(MAIN),
!def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(DEBUG),
def(WSDEBUG),
True,
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_PROFILE),
def(WIN32),
def(FEAT_GUI),
