(def(FEAT_VARTABS)&def(FEAT_BEVAL_GUI)),
def(WIN32),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(DEBUG),
!def(FEAT_BEVAL_GUI),
!def(FEAT_PROFILE),
def(WSDEBUG_TRACE),
def(JUMPLIST_ROTATE),
def(__MINT__),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
True,
!def(INET_SOCKETS),
def(WSDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_SUN_WORKSHOP),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
!def(UNIX),
def(FEAT_PROFILE),
def(INET_SOCKETS),
def(_WIN32),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_BEVAL_GUI),
def(LESSTIF_VERSION),
def(MAIN),
def(FEAT_JOB_CHANNEL),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(UNIX),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)),
(def(FEAT_BEVAL_GUI)&!def(FEAT_VARTABS)&(!def(FEAT_VARTABS)|!def(FEAT_BEVAL_GUI))),
