!def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
def(FEAT_GUI_GTK),
def(PROTO),
def(DEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(WSDEBUG_SENSE),
def(__BORLANDC__),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
!def(PROTO),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
True,
