(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(FEAT_FKMAP),
def(FEAT_GUI_W32),
!def(RISCOS),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
!def(FEAT_MBYTE),
(def(FEAT_BEVAL)&!def(FEAT_GUI_GTK)&(!def(FEAT_GUI_GTK)|!def(FEAT_BEVAL))),
def(FEAT_TOOLBAR),
def(FEAT_GUI),
def(FEAT_TERMRESPONSE),
(!def(FEAT_BEVAL)&def(NOIME)),
!def(EBCDIC),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
def(FEAT_DND),
(!def(PROTO)&!def(__BORLANDC__)),
!def(LESSTIF_VERSION),
True,
def(EBCDIC),
(def(FEAT_GUI_GTK)&def(FEAT_BEVAL)),
def(LESSTIF_VERSION),
