!def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
def(INET_SOCKETS),
def(DEBUG),
def(FEAT_BEVAL),
def(WSDEBUG_TRACE),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(WSDEBUG),
def(__BORLANDC__),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(PROTO),
!def(PROTO),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(FEAT_GUI_W32),
def(FEAT_GUI),
!def(NO_CONSOLE),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
def(MCH_WRITE_DUMP),
