!def(FEAT_GUI_W32),
!def(FEAT_PROFILE),
def(FEAT_TERMRESPONSE),
def(WIN32),
def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
def(JUMPLIST_ROTATE),
def(_WIN32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(DEBUG),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(MAIN),
def(FEAT_GUI),
def(WSDEBUG),
def(FEAT_PROFILE),
True,
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(__MINT__),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
