(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(_WIN32),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(DEBUG),
def(FEAT_TOOLBAR),
True,
def(FEAT_BEVAL_GUI),
def(LESSTIF_VERSION),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG),
def(__MINT__),
!def(FEAT_GUI_W32),
!def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
def(PROTO),
!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(JUMPLIST_ROTATE),
def(FEAT_PROFILE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI_W32),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(MAIN),
def(WIN32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
