def(JUMPLIST_ROTATE),
def(MCH_WRITE_DUMP),
def(NBDEBUG),
def(FEAT_GUI),
!def(FEAT_MBYTE),
def(LESSTIF_VERSION),
def(FEAT_RIGHTLEFT),
def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
def(DEBUG),
!def(NO_CONSOLE),
def(FEAT_FKMAP),
!def(FEAT_RIGHTLEFT),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(__BORLANDC__),
def(PROTO),
def(FEAT_GUI_GTK),
!def(FEAT_BEVAL),
!def(RISCOS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(FEAT_MBYTE),
!def(PROTO),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(FEAT_BEVAL),
def(WSDEBUG),
def(FEAT_CLIPBOARD),
def(RISCOS),
