!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(FEAT_GUI),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
def(FEAT_TERMRESPONSE),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_GUI_W32),
True,
(!def(PROTO)&!def(__BORLANDC__)),
