(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(_WIN32),
def(FEAT_TOOLBAR),
def(PROTO),
def(WSDEBUG),
def(FEAT_GUI),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(WIN32),
def(MAIN),
def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(DEBUG),
!def(INET_SOCKETS),
True,
def(__MINT__),
def(INET_SOCKETS),
def(FEAT_BEVAL),
def(LESSTIF_VERSION),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG_SENSE),
!def(FEAT_GUI_W32),
