!def(FEAT_BEVAL),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(INET_SOCKETS),
def(__BORLANDC__),
def(DEBUG),
True,
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
def(PROTO),
!def(NO_CONSOLE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
!def(PROTO),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_W32),
def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
