!def(FEAT_GUI_W32),
!def(FEAT_GUI_GTK),
def(PROTO),
def(FEAT_SUN_WORKSHOP),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG),
def(DEBUG),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(FEAT_TOOLBAR),
True,
def(MAIN),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WIN32),
def(FEAT_JOB_CHANNEL),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(__MINT__),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL_GUI),
def(NBDEBUG),
def(FEAT_PROFILE),
!def(FEAT_PROFILE),
def(WSDEBUG_SENSE),
