!def(INET_SOCKETS),
!def(PROTO),
def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(FEAT_GUI),
True,
!def(FEAT_GUI_W32),
def(INET_SOCKETS),
!def(FEAT_GUI_GTK),
def(WSDEBUG),
!def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(NBDEBUG),
def(WSDEBUG_SENSE),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(PROTO),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
def(MCH_WRITE_DUMP),
