!def(FEAT_MBYTE),
def(MCH_WRITE_DUMP),
def(FEAT_TOOLBAR),
def(FEAT_SUN_WORKSHOP),
def(__BORLANDC__),
def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_W32),
!def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
def(PROTO),
def(EBCDIC),
!def(RISCOS),
def(FEAT_GUI),
!def(EBCDIC),
!def(FEAT_RIGHTLEFT),
def(WSDEBUG),
def(LESSTIF_VERSION),
def(DEBUG),
def(FEAT_MBYTE),
def(FEAT_RIGHTLEFT),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(RISCOS),
!def(PROTO),
True,
def(NBDEBUG),
def(FEAT_FKMAP),
def(JUMPLIST_ROTATE),
