(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_TRACE),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_W32),
def(FEAT_JOB_CHANNEL),
!def(FEAT_GUI_GTK),
def(_WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
def(WIN32),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(INET_SOCKETS),
def(MAIN),
!def(FEAT_PROFILE),
def(DEBUG),
def(__MINT__),
def(FEAT_BEVAL_GUI),
def(FEAT_PROFILE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(LESSTIF_VERSION),
!def(INET_SOCKETS),
def(NBDEBUG),
def(FEAT_TOOLBAR),
