!def(INET_SOCKETS),
def(PROTO),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
def(NBDEBUG),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_GUI),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_BEVAL),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG),
!def(FEAT_PROFILE),
def(INET_SOCKETS),
def(MAIN),
True,
def(JUMPLIST_ROTATE),
def(WIN32),
def(__MINT__),
!def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
def(FEAT_PROFILE),
def(LESSTIF_VERSION),
!def(FEAT_GUI_GTK),
def(FEAT_BEVAL_GUI),
def(DEBUG),
def(_WIN32),
def(FEAT_GUI_W32),
