def(RISCOS),
!def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
True,
def(JUMPLIST_ROTATE),
def(FEAT_BEVAL),
def(EBCDIC),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
!def(PROTO),
!def(RISCOS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_RIGHTLEFT),
def(MCH_WRITE_DUMP),
def(FEAT_FKMAP),
def(FEAT_TOOLBAR),
def(DEBUG),
def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG),
!def(FEAT_BEVAL),
def(NBDEBUG),
def(FEAT_GUI),
def(LESSTIF_VERSION),
def(PROTO),
!def(FEAT_RIGHTLEFT),
def(FEAT_GUI_W32),
!def(EBCDIC),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(NO_CONSOLE),
def(__BORLANDC__),
