!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
def(DEBUG),
def(FEAT_TOOLBAR),
def(PROTO),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
def(INET_SOCKETS),
!def(RISCOS),
!def(FEAT_MBYTE),
True,
def(MCH_WRITE_DUMP),
def(LESSTIF_VERSION),
def(FEAT_MBYTE),
def(NBDEBUG),
!def(PROTO),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(INET_SOCKETS),
!def(FEAT_BEVAL),
def(FEAT_BEVAL),
def(WSDEBUG_SENSE),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
def(__BORLANDC__),
def(FEAT_RIGHTLEFT),
def(FEAT_FKMAP),
def(RISCOS),
