!def(INET_SOCKETS),
def(MCH_WRITE_DUMP),
def(DEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(FEAT_MBYTE),
def(JUMPLIST_ROTATE),
!def(FEAT_EMACS_TAGS),
def(FEAT_SUN_WORKSHOP),
def(FEAT_RIGHTLEFT),
!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
def(FEAT_EMACS_TAGS),
!def(FEAT_GUI_W32),
def(WSDEBUG),
def(FEAT_TERMRESPONSE),
!def(FEAT_BEVAL),
def(FEAT_GUI),
def(FEAT_GUI_GTK),
def(NBDEBUG),
def(PROTO),
def(__BORLANDC__),
def(RISCOS),
!def(RISCOS),
True,
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
!def(PROTO),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_MBYTE),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
