!def(FEAT_EMACS_TAGS),
def(__BORLANDC__),
!def(FEAT_GUI_GTK),
def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
def(FEAT_FKMAP),
def(NBDEBUG),
def(FEAT_RIGHTLEFT),
def(DEBUG),
True,
def(FEAT_BEVAL),
def(FEAT_EMACS_TAGS),
!def(FEAT_GUI_W32),
def(WSDEBUG_TRACE),
!def(INET_SOCKETS),
!def(NO_CONSOLE),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
def(FEAT_TERMRESPONSE),
def(LESSTIF_VERSION),
def(MCH_WRITE_DUMP),
def(PROTO),
!def(PROTO),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
def(WSDEBUG),
def(FEAT_GUI),
def(FEAT_CLIPBOARD),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
