!def(FEAT_GUI_GTK),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
!def(INET_SOCKETS),
def(NBDEBUG),
def(FEAT_BEVAL),
def(WSDEBUG),
def(MAIN),
def(JUMPLIST_ROTATE),
def(__MINT__),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(FEAT_PROFILE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_GUI),
def(INET_SOCKETS),
def(PROTO),
True,
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(_WIN32),
def(WIN32),
def(DEBUG),
def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
!def(FEAT_PROFILE),
def(FEAT_BEVAL_GUI),
def(FEAT_JOB_CHANNEL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
