def(FEAT_GUI_W32),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
def(FEAT_GUI),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(WSDEBUG),
!def(FEAT_GUI_W32),
def(FEAT_BEVAL_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(INET_SOCKETS),
def(DEBUG),
def(__MINT__),
def(LESSTIF_VERSION),
def(_WIN32),
def(FEAT_PROFILE),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(JUMPLIST_ROTATE),
!def(FEAT_PROFILE),
def(PROTO),
def(FEAT_JOB_CHANNEL),
def(FEAT_SUN_WORKSHOP),
True,
def(MAIN),
def(FEAT_TOOLBAR),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(WIN32),
