!def(INET_SOCKETS),
!def(PROTO),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(FEAT_TOOLBAR),
def(NBDEBUG),
def(PROTO),
def(WSDEBUG_TRACE),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(WSDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(FEAT_GUI_GTK),
def(FEAT_BEVAL),
!def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(__BORLANDC__),
!def(NO_CONSOLE),
!def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
True,
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_W32),
!def(FEAT_MBYTE),
def(WSDEBUG_SENSE),
def(DEBUG),
