!def(FEAT_GUI_GTK),
def(FEAT_RIGHTLEFT),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(RISCOS),
!def(RISCOS),
def(FEAT_FKMAP),
!def(NO_CONSOLE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_MBYTE),
def(WSDEBUG),
!def(FEAT_RIGHTLEFT),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
def(__BORLANDC__),
!def(PROTO),
!def(FEAT_GUI_W32),
def(PROTO),
def(DEBUG),
!def(FEAT_MBYTE),
!def(FEAT_BEVAL),
def(FEAT_GUI_GTK),
True,
def(WSDEBUG_TRACE),
def(JUMPLIST_ROTATE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
def(LESSTIF_VERSION),
def(FEAT_TOOLBAR),
