!def(FEAT_PROFILE),
def(JUMPLIST_ROTATE),
def(FEAT_GUI_W32),
!def(FEAT_GUI_W32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG),
def(FEAT_JOB_CHANNEL),
def(FEAT_SUN_WORKSHOP),
def(LESSTIF_VERSION),
def(_WIN32),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(INET_SOCKETS),
def(FEAT_GUI),
def(WSDEBUG_TRACE),
True,
def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(__MINT__),
def(DEBUG),
def(WIN32),
def(FEAT_TERMRESPONSE),
def(FEAT_BEVAL),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(PROTO),
def(FEAT_TOOLBAR),
def(MAIN),
def(FEAT_PROFILE),
