!def(FEAT_GUI_GTK),
def(WIN32),
def(__MINT__),
def(FEAT_PROFILE),
def(FEAT_TOOLBAR),
def(DEBUG),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL_GUI),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
True,
def(WSDEBUG_TRACE),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_FKMAP),
def(_WIN32),
def(FEAT_JOB_CHANNEL),
def(FEAT_RIGHTLEFT),
def(PROTO),
def(MAIN),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_SUN_WORKSHOP),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
!def(FEAT_PROFILE),
!def(INET_SOCKETS),
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(JUMPLIST_ROTATE),
def(FEAT_MBYTE),
def(WSDEBUG),
def(NBDEBUG),
