!def(FEAT_GUI_GTK),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(WSDEBUG_TRACE),
def(FEAT_JOB_CHANNEL),
def(_WIN32),
def(WIN32),
def(__MINT__),
def(FEAT_PROFILE),
def(LESSTIF_VERSION),
def(FEAT_BEVAL),
def(FEAT_GUI_W32),
True,
def(MAIN),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(PROTO),
!def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
!def(FEAT_PROFILE),
def(WSDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(INET_SOCKETS),
def(NBDEBUG),
