!def(INET_SOCKETS),
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
!def(PROTO),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
def(NBDEBUG),
!def(FEAT_GUI_GTK),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(INET_SOCKETS),
def(LESSTIF_VERSION),
def(DEBUG),
def(FEAT_GUI),
True,
!def(FEAT_GUI_W32),
def(FEAT_TOOLBAR),
def(JUMPLIST_ROTATE),
def(FEAT_SUN_WORKSHOP),
def(WSDEBUG_SENSE),
def(WSDEBUG),
def(__BORLANDC__),
def(FEAT_GUI_W32),
!def(NO_CONSOLE),
def(FEAT_GUI_GTK),
