!def(RISCOS),
def(FEAT_CLIPBOARD),
def(DEBUG),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_GUI_W32),
!def(PROTO),
def(JUMPLIST_ROTATE),
!def(FEAT_RIGHTLEFT),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(FEAT_FKMAP),
def(LESSTIF_VERSION),
True,
def(WSDEBUG_SENSE),
!def(NO_CONSOLE),
def(FEAT_TOOLBAR),
def(WSDEBUG),
!def(FEAT_MBYTE),
def(NBDEBUG),
!def(FEAT_BEVAL),
def(FEAT_RIGHTLEFT),
def(__BORLANDC__),
def(MCH_WRITE_DUMP),
def(RISCOS),
def(FEAT_BEVAL),
def(FEAT_MBYTE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
