def(FEAT_EMACS_TAGS),
def(FEAT_GUI_GTK),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_TERMRESPONSE),
def(NBDEBUG),
def(PROTO),
!def(FEAT_BEVAL),
!def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
def(LESSTIF_VERSION),
def(FEAT_GUI_W32),
def(JUMPLIST_ROTATE),
!def(PROTO),
def(MCH_WRITE_DUMP),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(FEAT_SUN_WORKSHOP),
!def(NO_CONSOLE),
def(DEBUG),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_TRACE),
def(INET_SOCKETS),
def(WSDEBUG_SENSE),
def(FEAT_BEVAL),
def(FEAT_FKMAP),
!def(FEAT_EMACS_TAGS),
def(WSDEBUG),
True,
def(FEAT_MBYTE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
