(def(USE_WS_ERRORHANDLER)&def(WSDEBUG)),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG),
def(MAIN),
def(FEAT_GUI_W32),
!def(INET_SOCKETS),
def(__MINT__),
(def(USE_NB_ERRORHANDLER)&def(NBDEBUG)),
def(DEBUG),
def(FEAT_GUI_GTK),
def(WIN32),
def(_WIN32),
def(FEAT_TOOLBAR),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(JUMPLIST_ROTATE),
!def(FEAT_GUI_GTK),
def(NBDEBUG),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_TERMRESPONSE),
True,
def(INET_SOCKETS),
def(PROTO),
