!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
def(WSDEBUG_TRACE),
def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(FEAT_FKMAP),
def(FEAT_GUI),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
!def(PROTO),
True,
def(__BORLANDC__),
def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
def(FEAT_RIGHTLEFT),
def(FEAT_TOOLBAR),
def(INET_SOCKETS),
def(FEAT_CLIPBOARD),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_GTK),
def(DEBUG),
