!def(LESSTIF_VERSION),
!def(FEAT_GUI_W32),
def(FEAT_TERMRESPONSE),
def(FEAT_RIGHTLEFT),
(!def(FEAT_BEVAL)&def(FEAT_TOOLBAR)),
(!def(FEAT_BEVAL)&def(NOIME)),
def(FEAT_TOOLBAR),
!def(RISCOS),
def(LESSTIF_VERSION),
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)),
(!def(FEAT_BEVAL)&def(WSDEBUG_TRACE)),
def(JUMPLIST_ROTATE),
True,
!def(FEAT_BEVAL),
(def(FEAT_MBYTE)&!def(NO_CONSOLE)),
!def(EBCDIC),
(!def(FEAT_BEVAL)&def(FEAT_MBYTE_IME)),
def(EBCDIC),
def(FEAT_GUI),
(!def(FEAT_BEVAL)&def(WSDEBUG_SENSE)),
!def(NO_CONSOLE),
(!def(FEAT_GUI_MOTIF)&!def(FEAT_GUI_GTK)&def(FEAT_GUI_W32)),
def(DEBUG),
def(FEAT_GUI_W32),
def(FEAT_MBYTE),
def(FEAT_DND),
