!def(FEAT_BEVAL),
def(FEAT_BEVAL),
def(NBDEBUG),
def(FEAT_SUN_WORKSHOP),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_GTK),
def(FEAT_TERMRESPONSE),
def(INET_SOCKETS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_TRACE),
def(WSDEBUG),
def(JUMPLIST_ROTATE),
!def(INET_SOCKETS),
def(PROTO),
def(FEAT_GUI),
def(WSDEBUG_SENSE),
def(FEAT_GUI_W32),
True,
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(NO_CONSOLE),
def(MCH_WRITE_DUMP),
!def(PROTO),
def(LESSTIF_VERSION),
def(__BORLANDC__),
def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(DEBUG),
