def(__BORLANDC__),
!def(NO_CONSOLE),
def(NBDEBUG),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
def(MCH_WRITE_DUMP),
True,
def(JUMPLIST_ROTATE),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
!def(FEAT_GUI_GTK),
def(WSDEBUG_SENSE),
!def(PROTO),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI_GTK),
!def(INET_SOCKETS),
def(DEBUG),
def(FEAT_GUI_W32),
def(INET_SOCKETS),
def(WSDEBUG),
!def(FEAT_BEVAL),
def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
!def(FEAT_GUI_W32),
def(FEAT_EMACS_TAGS),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(PROTO),
!def(FEAT_EMACS_TAGS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
