!def(FEAT_GUI_GTK),
def(UNIX),
!def(FEAT_PROFILE),
def(FEAT_GUI_W32),
def(FEAT_FKMAP),
True,
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
def(WSDEBUG),
def(INET_SOCKETS),
def(FEAT_PROFILE),
def(DEBUG),
!def(INET_SOCKETS),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_MBYTE),
def(_WIN32),
def(LESSTIF_VERSION),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_JOB_CHANNEL),
!def(FEAT_GUI_W32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(FEAT_TOOLBAR),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WIN32),
def(JUMPLIST_ROTATE),
def(WSDEBUG_SENSE),
def(__MINT__),
def(FEAT_RIGHTLEFT),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_BEVAL_GUI),
def(MAIN),
!def(UNIX),
def(PROTO),
