!def(FEAT_GUI_GTK),
def(FEAT_GUI_GTK),
!def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_SUN_WORKSHOP),
def(FEAT_GUI),
!def(NO_CONSOLE),
def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
True,
def(MAIN),
def(FEAT_GUI_W32),
def(MCH_WRITE_DUMP),
def(FEAT_BEVAL),
!def(INET_SOCKETS),
def(DEBUG),
def(JUMPLIST_ROTATE),
def(NBDEBUG),
def(FEAT_TERMRESPONSE),
!def(FEAT_GUI_W32),
def(LESSTIF_VERSION),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
def(WSDEBUG_TRACE),
def(WSDEBUG),
def(INET_SOCKETS),
def(__BORLANDC__),
