!def(FEAT_GUI_W32),
def(NBDEBUG),
def(INET_SOCKETS),
def(PROTO),
def(JUMPLIST_ROTATE),
def(WIN32),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&(def(__MINT__)|def(HPUX_DIGRAPHS)|!def(EBCDIC))),
def(__MINT__),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(LESSTIF_VERSION),
def(WSDEBUG_TRACE),
def(FEAT_TERMRESPONSE),
def(FEAT_GUI),
def(_WIN32),
def(DEBUG),
def(FEAT_PROFILE),
def(FEAT_GUI_W32),
(def(HPUX_DIGRAPHS)&!def(__MINT__)),
(!def(__MINT__)&!def(HPUX_DIGRAPHS)&def(EBCDIC)),
def(FEAT_BEVAL),
def(FEAT_JOB_CHANNEL),
def(WSDEBUG),
def(FEAT_SUN_WORKSHOP),
True,
!def(INET_SOCKETS),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
!def(FEAT_PROFILE),
!def(FEAT_GUI_GTK),
def(FEAT_TOOLBAR),
def(WSDEBUG_SENSE),
def(MAIN),
