!def(NO_CONSOLE),
!def(FEAT_GUI_W32),
def(WSDEBUG_SENSE),
def(PROTO),
def(NBDEBUG),
def(FEAT_BEVAL),
def(FEAT_GUI),
def(FEAT_SUN_WORKSHOP),
!def(INET_SOCKETS),
def(INET_SOCKETS),
True,
def(MCH_WRITE_DUMP),
def(WSDEBUG),
def(WSDEBUG_TRACE),
def(__BORLANDC__),
def(FEAT_GUI_GTK),
def(DEBUG),
!def(FEAT_GUI_GTK),
def(LESSTIF_VERSION),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(FEAT_GUI_W32),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_TOOLBAR),
def(FEAT_TERMRESPONSE),
def(JUMPLIST_ROTATE),
!def(PROTO),
!def(FEAT_BEVAL),
