!def(NO_CONSOLE),
def(JUMPLIST_ROTATE),
def(MCH_WRITE_DUMP),
!def(INET_SOCKETS),
def(NBDEBUG),
def(FEAT_GUI_GTK),
!def(PROTO),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
!def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
def(FEAT_MBYTE),
def(WSDEBUG),
def(DEBUG),
def(WSDEBUG_SENSE),
True,
def(FEAT_SUN_WORKSHOP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(FEAT_GUI_W32),
def(__BORLANDC__),
!def(FEAT_BEVAL),
def(FEAT_TOOLBAR),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(FEAT_TERMRESPONSE),
def(PROTO),
def(FEAT_BEVAL),
