def(RISCOS),
def(FEAT_BEVAL),
def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
!def(FEAT_MBYTE),
def(WSDEBUG_TRACE),
def(FEAT_RIGHTLEFT),
def(WSDEBUG),
!def(FEAT_RIGHTLEFT),
def(FEAT_GUI_GTK),
def(JUMPLIST_ROTATE),
!def(NO_CONSOLE),
def(FEAT_GUI_W32),
def(NBDEBUG),
def(LESSTIF_VERSION),
!def(FEAT_BEVAL),
def(MCH_WRITE_DUMP),
!def(FEAT_GUI_W32),
def(DEBUG),
def(FEAT_GUI),
!def(FEAT_GUI_GTK),
!def(RISCOS),
True,
def(PROTO),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(PROTO),
def(FEAT_TERMRESPONSE),
def(FEAT_FKMAP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
def(__BORLANDC__),
def(FEAT_CLIPBOARD),
