!def(FEAT_MBYTE),
def(INET_SOCKETS),
!def(INET_SOCKETS),
def(FEAT_RIGHTLEFT),
def(FEAT_TOOLBAR),
def(PROTO),
def(FEAT_GUI_GTK),
True,
def(WSDEBUG_TRACE),
def(FEAT_SUN_WORKSHOP),
def(JUMPLIST_ROTATE),
def(__BORLANDC__),
def(RISCOS),
def(LESSTIF_VERSION),
def(WSDEBUG),
!def(FEAT_GUI_GTK),
def(FEAT_MBYTE),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
!def(NO_CONSOLE),
def(FEAT_GUI),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(MCH_WRITE_DUMP),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(FEAT_FKMAP),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
def(WSDEBUG_SENSE),
def(DEBUG),
!def(PROTO),
!def(FEAT_BEVAL),
def(FEAT_TERMRESPONSE),
!def(RISCOS),
