!def(NO_CONSOLE),
def(WSDEBUG_TRACE),
def(__BORLANDC__),
def(FEAT_GUI_W32),
def(FEAT_GUI),
!def(INET_SOCKETS),
def(JUMPLIST_ROTATE),
def(FEAT_TERMRESPONSE),
def(MCH_WRITE_DUMP),
def(PROTO),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(FEAT_GUI_GTK),
def(FEAT_SUN_WORKSHOP),
!def(PROTO),
def(FEAT_BEVAL),
!def(FEAT_GUI_W32),
True,
def(WSDEBUG),
!def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
!def(FEAT_GUI_GTK),
def(DEBUG),
def(WSDEBUG_SENSE),
def(FEAT_TOOLBAR),
def(NBDEBUG),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
