!def(FEAT_GUI_GTK),
!def(FEAT_GUI_W32),
def(NBDEBUG),
def(WSDEBUG_TRACE),
def(FEAT_GUI_GTK),
def(FEAT_CLIPBOARD),
def(JUMPLIST_ROTATE),
def(FEAT_GUI),
def(WSDEBUG),
def(FEAT_TOOLBAR),
!def(NO_CONSOLE),
def(__BORLANDC__),
True,
def(FEAT_MBYTE),
def(FEAT_SUN_WORKSHOP),
def(FEAT_RIGHTLEFT),
!def(INET_SOCKETS),
def(DEBUG),
def(PROTO),
def(FEAT_FKMAP),
def(FEAT_TERMRESPONSE),
def(WSDEBUG_SENSE),
(def(WSDEBUG)&!def(USE_WS_ERRORHANDLER)),
def(MCH_WRITE_DUMP),
def(LESSTIF_VERSION),
def(INET_SOCKETS),
def(FEAT_GUI_W32),
def(FEAT_BEVAL),
!def(PROTO),
!def(FEAT_BEVAL),
(def(NBDEBUG)&!def(USE_NB_ERRORHANDLER)),
